epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1,model_name
13,0.6625877446844676,0.7672862453531598,0.7645494366471146,0.6812227556579992,0.7134502923976608,0.7046254399195576,efficientnet_b0
14,0.6451298424302424,0.7605947955390334,0.7557718006341859,0.6392810498064722,0.783625730994152,0.7777293626910317,efficientnet_b0
15,0.6310412534550663,0.7732342007434945,0.7677577036176849,0.6662386777805306,0.7134502923976608,0.7050013404701815,efficientnet_b0
16,0.6264875822350882,0.7814126394052044,0.7786541134096948,0.6450043216086271,0.7309941520467836,0.7234821595367085,efficientnet_b0
17,0.6162456189832722,0.7702602230483271,0.7667687098551066,0.6261007099123727,0.7485380116959064,0.7418630751964085,efficientnet_b0
18,0.6036359759511558,0.7776951672862453,0.7745207438153043,0.6021705736890871,0.7953216374269005,0.791347813344622,efficientnet_b0
19,0.5883602979901111,0.7866171003717473,0.782316542117655,0.5713834961255392,0.8070175438596491,0.8036692100994743,efficientnet_b0
20,0.5741707812454621,0.8096654275092937,0.8080508369783765,0.5840704754779213,0.8011695906432749,0.7965079157778648,efficientnet_b0
1,1.12160782698805,0.34275092936802976,0.30561869127315183,1.0658319749330218,0.4853801169590643,0.3980968222113745,resnet18
2,1.013487419319862,0.47806691449814126,0.44858254238537554,0.9797055017181308,0.6198830409356725,0.534715821812596,resnet18
3,0.9423739747930193,0.5315985130111525,0.498268509750913,0.9019626692721718,0.6666666666666666,0.5860270287788437,resnet18
4,0.8783287920473234,0.5985130111524164,0.550494735751954,0.8386815263513934,0.6842105263157895,0.6126177743824802,resnet18
5,0.8306592986486215,0.6275092936802974,0.6042985221525273,0.7889730986098797,0.7076023391812866,0.6483593754861513,resnet18
6,0.7867488681162157,0.6617100371747212,0.636106193621412,0.77470960951688,0.672514619883041,0.6268438358201279,resnet18
7,0.7450497429610186,0.6921933085501859,0.6632189912165837,0.7578632099586621,0.6549707602339181,0.6048262370843016,resnet18
8,0.7276139815943835,0.7048327137546468,0.6863926104259218,0.695323503853982,0.7134502923976608,0.6939885373314189,resnet18
9,0.7056682243223084,0.7078066914498141,0.6880602932826845,0.6822072023536727,0.7017543859649122,0.657840449144797,resnet18
10,0.6817526749075566,0.7211895910780669,0.7039969356000458,0.6541918014225206,0.7076023391812866,0.6626158243805303,resnet18
11,0.6585443508226189,0.7501858736059479,0.7425068589295075,0.6468794701392191,0.7017543859649122,0.6623197100362455,resnet18
12,0.6494659171671673,0.7531598513011153,0.7407638277248328,0.6071727676698339,0.7602339181286549,0.7327495454110441,resnet18
13,0.6265488923260714,0.7665427509293681,0.7596210148866573,0.6265266701491953,0.7017543859649122,0.6778510626303625,resnet18
14,0.6186467139694327,0.7561338289962826,0.7472432193581108,0.5927838073139302,0.7192982456140351,0.6915690866510539,resnet18
15,0.5972700865295296,0.7665427509293681,0.7575478245605853,0.5628706614176432,0.7660818713450293,0.756949870249103,resnet18
16,0.5938543433150394,0.7828996282527881,0.7767970110350069,0.5933817590189259,0.7251461988304093,0.7067517024038764,resnet18
17,0.5813503096094805,0.774721189591078,0.767307529072235,0.5749483777765643,0.7251461988304093,0.6894512118052264,resnet18
18,0.5585220836795396,0.7985130111524164,0.79372197185702,0.5398228482196206,0.7894736842105263,0.7759943597707369,resnet18
19,0.5588901293765214,0.7843866171003717,0.778220291509653,0.5175270239512125,0.8362573099415205,0.8285648547598504,resnet18
20,0.5415123185260589,0.8052044609665427,0.8005988460308074,0.5503485363129287,0.7426900584795322,0.728840341733895,resnet18
